,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600
480307.262070273973,312.6889784279503,317.8709736693523,322.56314308560366,326.6262071872201,330.34342017707877,334.103669681148,338.1297003988051,341.9796853230641,345.0456545203486,346.8633904410136,347.54368507114225,347.34108278074973,346.50381364509246,345.25485056039355,343.8108521281179,342.40161237605463,341.30946703729086,340.82988727123836,341.21898295023897,342.5754187983564,344.9584982525846,348.3620388590336,352.5179146002776,357.09251356800706,361.7773249588392,366.3642423890981,370.6702605800349,374.5453341645776,377.97125742236256,380.9627845447028,383.5850930936472,386.1050541141855,388.8399620220434,391.99946667153887,395.3626396713611,398.6009080687917,401.44419688257665,403.85642301731735,405.8600013490791,407.5080952704548,408.97686224014586,410.4732082333809,412.12008880456085,413.70465782477515,414.9301187442855,415.5774105529186,415.73841439876014,415.58274696946114,415.26530400966124,414.8820974919542,414.5144184459233,414.2623142207805,414.30085744425446,414.8238770637029,415.9750936663686,417.6977943990339,419.8851580483667,422.46951402209214,425.53979421216695,429.2240811316057,433.6821696207547,439.2007038292859,446.0980402342032,454.58880346641706,464.47269077246233,475.4456675527804,487.21375825871803,499.52322354524466,512.1303831182344,524.7473712441093,536.9095804314796,548.1082177495023,557.7833583421249,565.1705496524538,569.454207198385,570.2306756380649,568.7440161906387,566.650219215501,565.1530442302778,563.6473273855181,561.0756739900014,556.5554444173335,549.9030193004226,541.1095343370029,530.3219750229064,518.3107260463604,506.0020218936894,493.99032169750507,481.5429831755666,467.5955886919187,451.4235957718138,433.66196258533313,415.2855224637641,397.1179745464231,379.3784812047416,362.13507061817904,345.4687355956957,329.5123274642567,314.4116621803273,300.3257692406187,287.46653230282607,276.05904856488957,266.2525846838022,257.8930851527661,250.75066392403554,244.57672170869787,239.0478062531724,233.82175206271145,228.61935470697014,223.41325401321706,218.23905087312363,213.14259002229502,208.2106915720727,203.54041947773155,199.18932600140707,195.0569166326769,191.00318516797884,186.91486689876297,182.78566309652723,178.63601652778158,
475314.6673672310166,320.3322699845091,325.74750028781483,330.66338569074685,334.9374312486467,338.85585203896807,342.8120406446931,347.0112580044859,350.9062384797398,353.76158478753024,355.02723689122007,354.89448373932237,353.7399515266375,351.93401336851707,349.82203006251666,347.74310932674337,346.0119761835466,344.84582487224657,344.43746693640657,344.9536424154897,346.4568053325596,348.9833382065803,352.520736970809,356.8609512156748,361.74704394590026,366.9253471392752,372.15526866585617,377.19948536876706,381.8465922209398,385.9888567145377,389.5444644715328,392.5151856806837,395.2371287978981,398.12998684587046,401.4831856021429,405.06508186364755,408.5137651821633,411.5296228328117,414.06223298408133,416.12347152780336,417.76312462891144,419.18261954475105,420.6212938057707,422.21452006037885,423.6818114288221,424.6387161493072,424.80953714285596,424.35359606174916,423.53896924108375,422.61599663830475,421.7640727002542,421.144855496123,420.912808670041,421.193618165892,422.10577550249894,423.7184329765772,425.9033859964124,428.48309074818275,431.3168944647278,434.41170856553185,437.8113355167405,441.5966002869992,445.99641785495305,451.2767257017471,457.65829046958396,465.18119544489696,473.840353075177,483.6101978491388,494.38325242039105,506.031561483766,518.342752457419,530.7667836527967,542.6691961046682,553.3426942469044,561.78863610978,566.935543122671,568.1808321390639,566.7975017088887,564.5274458061854,562.683667173933,560.8636036308675,558.235801764663,554.0903671991664,548.2036417029138,540.4735260806137,530.9443376964231,520.2460601522939,509.1550936096269,498.11135036431597,486.208791250229,472.2048892357267,455.27294309813186,436.249554850619,416.38715231532353,396.7819149878175,377.90502905741914,360.0714323868817,343.5349376003052,328.3048563671774,314.32937511833165,301.5663435171879,290.01226415751285,279.67330286565937,270.5293186741541,262.45494344021944,255.29850222725108,248.89215094722385,243.00336890642853,237.3834662597345,231.83085994324517,226.33239401800066,220.92201932627466,215.6400625950721,210.55235409032224,205.73109996268502,201.21617135071097,196.91809934451246,192.7150800220921,188.50709629501972,184.28127840913461,180.04654344384315,
470322.1914421464405,328.26306626196833,334.04766117383383,339.25819767837487,343.730440863663,347.7913329847064,351.8906105882471,356.2559784749906,360.2270144614941,362.9212646182782,363.68709646138956,362.7961632889801,360.7509398447277,358.046796061955,355.1506826325625,352.52244543809593,350.554850237987,349.3723423032139,349.0322867826411,349.5895426579549,351.08894424212826,353.57281968095623,357.0492197383942,361.3890856510404,366.4290812736543,371.9838819710633,377.7802091483683,383.5227957207382,388.93273930277655,393.79659630682215,397.91728784464846,401.21958929616443,404.115693113824,407.13964601821743,410.6699910519117,414.46325654538254,418.12046715108266,421.3092988993414,423.9640333319954,426.0856033687577,427.721112294128,429.10234485175147,430.50725615005933,432.0868977500082,433.48470702265377,434.21721779157707,433.943647570302,432.8939486321236,431.44075694028066,429.93378035440566,428.63101431971,427.76752617779954,427.546681034388,428.0450350516201,429.30744215574856,431.3317227452443,433.92756310745096,436.8576160019306,439.9201474561834,443.0558765694627,446.24113570896026,449.4904136760872,452.9708250091325,456.8876406806047,461.45177674503094,466.8967295850123,473.4616406651682,481.3451044499042,490.58352740276877,501.172768987096,512.9872633423438,525.4157433124639,537.7255164175316,549.0913941795486,558.3182041282204,564.1182777951783,565.7203173965413,564.4185078863732,562.0234049032252,559.932797976832,557.8934122016651,555.2392065633796,551.3879033396485,546.0922779762169,539.1888692108478,530.6526006501789,521.0119353763487,510.9337213403705,500.73929367180716,489.3679362144213,475.4134199905246,457.95066157059193,437.9791597177515,416.9795587432935,396.27354021535416,376.5469347294519,358.32661013794984,342.01458180380735,327.5134551323678,314.60098303957005,303.0606103308779,292.69854936985683,283.3267044095965,274.77511379312745,266.9463522232415,259.76112849267054,253.12620749386903,246.8925785181813,240.8972869566739,235.01004192177342,229.23120741134807,223.59381114462585,218.1334965071667,212.89636954985832,207.93115198991995,203.26075406331597,198.80484008099154,194.45726287263676,190.1294448183454,185.80308649982732,181.4774580491958,
465329.9530729786249,336.76887198122836,343.1950905949659,348.8421484309725,353.4870215858586,357.57291209814264,361.70957849181934,366.22702467514296,370.3362360934056,372.96844357615856,373.33898227148507,371.7996046015933,368.98616730722273,365.52474469541943,362.00228133845394,358.995939374903,356.96274478632495,355.8791789262046,355.6015869910083,356.0279244548491,357.2225879024279,359.2915841960921,362.3172718175988,366.2874157263432,371.16613250112977,376.86344210555563,383.07297804238823,389.43427719918736,395.5886644355628,401.1846164993252,405.87239811033527,409.47261496853304,412.4872366941768,415.5885738876043,419.2629695400099,423.25289620601484,427.1148588310975,430.4774751984608,433.2578144422092,435.4450585341723,437.0850165728649,438.45000616354235,439.8689720381452,441.51516830726007,442.9390865960547,443.53552790834317,442.88172567276575,441.28464301726905,439.2336754946265,437.1857462454213,435.4678887614775,434.3746641224297,434.14730922890806,434.813764265529,436.34864523790486,438.6849134308278,441.5889112458098,444.7853263635421,448.03514554527897,451.24455187452577,454.35602751535015,457.34299251086185,460.3026184203363,463.36301468208995,466.6932615650382,470.6263226604889,475.53613239034826,481.75694507135904,489.46429459960905,498.79403476602266,509.73003357049845,521.6482158488312,533.7725206457899,545.218822167922,554.6707352688885,560.7038099641288,562.4384601669747,561.1745553823263,558.7568290129756,556.6189444982181,554.5502854233589,551.9291654102061,548.210666197429,543.1569419911439,536.6069151143282,528.5326641644134,519.4388928366463,509.96346110072625,500.3810662606588,489.5137549576729,475.8204111673025,458.28512233533553,437.9927897885769,416.55351832408473,395.42053501517483,375.41955604019495,357.2194198537491,341.3211104050943,327.5541936220973,315.58038092727634,305.0622622188098,295.6659412975149,287.0584004398684,278.9590311693435,271.29686199740104,264.0533306824981,257.1975186567527,250.64908204692765,244.31532065344592,238.12457738480805,232.08936758182313,226.24324969337727,220.61885309789645,215.2450908919677,210.1499471017179,205.34081150252322,200.74269686675768,196.2600217160442,191.812031595809,187.37728014669065,182.94914803313065,
460337.9785867770481,345.96771698780714,353.38375896014253,359.6536244556309,364.4491987973044,368.42226155401755,372.4695658560805,377.1221538920992,381.4482240838607,384.150263911448,384.27585829781924,382.25298193743436,378.8547069676294,374.83984490389287,370.91016477432646,367.75317498518467,365.87123479851,365.0261068994932,364.79440482911326,364.8636483214111,365.36498188267825,366.5404562122687,368.61382349810816,371.73564188240726,376.0381709959488,381.55954008981456,387.96135689628545,394.8110987679421,401.6574540201398,407.97395481933466,413.21534429475713,417.0662935907084,420.1311859117709,423.24433247759725,427.01850906413296,431.1803496724958,435.23495286009603,438.76612782015894,441.67252628916765,443.9315106394203,445.58964553809614,446.970304831901,448.4660646624215,450.27894841346165,451.8487684376945,452.4247843300101,451.484125987741,449.4154045179896,446.835101330301,444.312852534741,442.23091304345974,440.9246924691281,440.65916779928017,441.41758552090283,443.11275949584615,445.62441110283925,448.69989178812705,452.0534605148334,455.43865662096533,458.766140944063,461.9858546965497,465.0616762129492,468.01323231618767,470.8740869512921,473.733355085856,476.9023557777385,480.74795910736566,485.62380680034187,491.83062716298394,499.65592014678725,509.2150234136718,519.9346254672562,531.0692525215834,541.7564685423065,550.6659885015192,556.3505651229245,557.9081163035946,556.6172206340764,554.3016218782852,552.3600075272409,550.4908399803792,547.9675253642409,544.1712241454684,538.9141141511141,532.116127548332,523.828432558406,514.6271416191389,505.2196032224614,495.92473044610813,485.50769471102467,472.345232023959,455.351751296208,435.5923530572652,414.6698107411724,394.03857452191704,374.5598015332705,356.9463256489493,341.7287312133996,328.70860445398694,317.50528206880597,307.7334999470833,298.9895907425745,290.86528630016676,283.02467863271653,275.4213004249576,268.0810445295929,261.0181055186731,254.19988484164162,247.58208566728933,241.13378724991748,234.87757318586858,228.84940315699507,223.08114025928762,217.58826124529085,212.38214628168717,207.45701122020031,202.7384146527182,198.1347508561696,193.56838578089182,189.01757207085566,184.47453404344037,
455345.9245069555812,355.2997316256951,363.88898124379534,370.9062807578686,375.89995719399616,379.75554589063813,383.6928842643494,388.4775011023447,393.0576906744779,395.927438621263,395.9784919421028,393.6936430719563,389.95344580467196,385.6216929822335,381.4951336391672,378.35375585813483,376.7281541364967,376.15134863040663,375.9069659107167,375.4660537249753,375.0493445275163,375.06499194936964,375.9043876051085,377.89187504348143,381.3350357967806,386.4076880537435,392.74859662888974,399.8627629931844,407.2149839588143,414.1092377028515,419.8092977435892,423.8635355135065,426.9587141018238,430.06619451194643,433.9062035360997,438.1944311217863,442.39543300532875,446.05813674920194,449.06895722049404,451.3986811124456,453.097206327653,454.53087560613244,456.14514289725594,458.1645357400026,459.92987603178113,460.56105925960793,459.4446858526609,457.0341760087647,454.0496548679058,451.15152598948333,448.76130661054736,447.24079238756093,446.871117813551,447.61077272779875,449.33758580615006,451.90244427500136,455.0484695629535,458.4918416491587,461.99102993271714,465.4736614925221,468.90965282741524,472.2656309991035,475.4950653207549,478.54813566840295,481.4291109996152,484.3586165980961,487.61136682908415,491.4822570296669,496.3469064243287,502.6011152094025,510.46551554434757,519.4600674411253,528.929562874823,538.1043288426532,545.7568324303298,550.5450757456921,551.6362500466416,550.2343031913304,548.0523721879727,546.3714595726714,544.7440299930838,542.2904136247565,538.2819656139746,532.5941409899797,525.2534197527523,516.4158263075952,506.755562681102,497.07637530518826,487.78293924161943,477.6836440715607,465.187808006027,449.2141933878684,430.7193390872798,411.1692281062906,391.89529526419756,373.6907826493682,357.2143841674367,342.9547144793195,330.72007126706376,320.1486729679985,310.87055719771377,302.4830382848434,294.57524973628165,286.81385081833196,279.17560383493367,271.71479684943506,264.47356426114396,257.44542581320746,250.6117475847323,243.96356913593124,237.5306239514425,231.35231899701012,225.46155209420232,219.86518448788388,214.56356827874342,209.54174152248007,204.72348609483572,200.01726982656263,195.3456766327252,190.68775476563684,186.03666856192302,
450353.3549060191937,364.03557136350014,373.7564085617309,381.55758946781003,386.88252130041093,390.7875527372034,394.7322678206065,399.6637957046973,404.4794459901833,407.56407338943035,407.72460146239615,405.45622915940663,401.6762242783793,397.28928789026895,393.14985415817654,390.0997905182402,388.68440138524113,388.26273908853426,387.8972929361179,386.8980998709008,385.5653873754339,384.4469305671787,384.07362259766165,384.90882875467,387.3990323600559,391.82839802295615,397.831815501646,404.8818558416854,412.39532752925965,419.56598881305547,425.53183538238517,429.7449709522184,432.913931340154,436.0613603894485,439.9489483462597,444.2945710683507,448.5551508163864,452.27410794405085,455.34085517710645,457.73130333433545,459.50175584557985,461.0300865849237,462.77456203751115,464.9598982057882,466.8766091614074,467.5816584933231,466.41561330494363,463.85345475749284,460.6537675266481,457.5120605126986,454.87153951437824,453.11233455503253,452.53311697035946,453.10672334546786,454.7245315778191,457.24769707209003,460.4164852618181,463.9409390877565,467.5735100701395,471.23628404712645,474.89375543635794,478.50197978486216,481.9832571572173,485.2514487473897,488.2641938824173,491.15424442162794,494.09813035742127,497.3084832286425,501.1423407599192,505.9928422223241,512.0996232351829,519.0883048108327,526.4310043098627,533.50452491133,539.3044130681584,542.7309010517386,543.1133527331082,541.4976583818891,539.3588398673495,537.7681660731865,536.1818939408126,533.6525274260689,529.4052340474665,523.3558355742006,515.5928173381359,506.32876992645885,496.2727049476424,486.25773926548027,476.74949333521397,466.74360197787655,454.8682036059481,440.18314830267974,423.4751328344075,405.96256563823783,388.74632411912864,372.45716155344485,357.60830018540196,344.57709606379115,333.197440455706,323.16735843281504,314.1781758816955,305.89442194855957,297.9739265945276,290.14288906256814,282.4009857230426,274.8162622281601,267.442884840358,260.27950226298697,253.3108838096254,246.531464836994,239.97434487438173,233.6822894942193,227.69032925821128,222.0025546851569,216.61532128312896,211.51032090406176,206.6105907753367,201.8245044681965,197.07448343685283,192.33914066739436,187.61113702887835,
445359.8835623036127,371.54109186306744,382.1569773599947,390.68957473186697,396.52562821625185,400.7654352510971,404.93768157444526,410.05413288842755,415.05887475152576,418.37907268631045,418.8466017047731,416.91217477659274,413.43121436086983,409.2607600533049,405.2643199959991,402.30701946765305,400.93960336195744,400.4552950325594,399.832937448096,398.3243129447693,396.2729613290446,394.295361774952,392.99067248274685,392.88876775758274,394.502200930838,398.1725128295617,403.5571942634841,410.14272353800675,417.3550379559638,424.37791080992264,430.3345743898841,434.6523394382329,437.97483050689186,441.2497506001682,445.18255257084905,449.50968866564125,453.7253609797326,457.4074452904769,460.46851210389553,462.9048056081772,464.7821450175436,466.44464965035047,468.30601385098737,470.559908920364,472.51991398547256,473.27958512982497,472.20084107950333,469.7190511308669,466.5379472228446,463.3097962494483,460.4810049250226,458.4465149189944,457.5298797548163,457.7691003720425,459.13078956425187,461.5342834681961,464.7098115933144,468.3403267922186,472.14614097581995,475.99700228822843,479.80001793185374,483.46901891661935,486.9447314825019,490.1746056769917,493.13709626786454,495.9346769040373,498.70082595471206,501.586616110256,504.81349734569466,508.6205139572187,513.1422207397061,518.0952144827841,523.0916024747676,527.686373924253,531.2060457209623,532.920016674899,532.4026208694454,530.4479334814996,528.154964961338,526.3002083696306,524.37008720862,521.5285075909426,517.0881787682116,510.9570225479494,503.1917638766556,493.96130653609526,483.8832696490973,473.6874511737562,463.82629394893144,453.6428203365458,442.20269757928696,428.8754293738722,414.2458652331385,399.2026911239521,384.5351396371753,370.6346298596554,357.79312750223505,346.2169977688075,335.77020383547034,326.23110837137074,317.37991123573954,309.0041610481401,300.89324361821866,292.88324587618615,284.99705923451324,277.304276226235,269.8575726913807,262.6419576979572,255.62552362096523,248.78917816074835,242.16509031902297,235.79824442284786,229.7261531862794,223.95644287136355,218.48926812714336,213.30989989490212,208.34407428488447,203.50264369957492,198.70936028397767,193.9395751531757,189.18153916477132,
440365.32307746759733,377.56294955918895,388.76276540558774,397.8824687616006,404.3000653421278,409.065808702442,413.6480143579089,419.031071004617,424.2636600615456,427.9105361283969,428.8956938673587,427.58008819056124,424.68391407261987,420.9507657585618,417.2178345750572,414.34571111918825,412.8882998128934,412.1727603775391,411.2195663593482,409.3154870530568,406.81247474745203,404.3287774798335,402.4626234590132,401.73216157985183,402.6355209087226,405.5121985316511,410.06716361327204,415.8467533378735,422.34058825067336,428.8114223406139,434.4652929575676,438.7718177673334,442.2549356994154,445.70216599924413,449.6944800296501,453.98665762306496,458.1269307293205,461.7427443834936,464.7783959616401,467.25739592506096,469.2564008556964,471.0646518180429,473.0245359972362,475.2870617558365,477.2377221661015,478.0706314777138,477.2112007012367,475.0100278907591,472.0490078612507,468.8802583128388,465.93678848628014,463.6218305074886,462.2851477979179,462.0626289611814,463.0366938964321,465.21803683467186,468.33044933429636,472.02599728555,475.98416400427385,479.9941025086961,483.8723832426413,487.46973846420036,490.77354768852604,493.80535224503706,496.6056225195629,499.29054512357675,501.9952357249626,504.83255936221195,507.8263785562471,510.97830519859815,514.2452262349284,517.405128827435,520.1912751924481,522.3279743915309,523.5037228671781,523.3980639071168,521.8580716399389,519.400943557696,516.7114079933043,514.2585314115145,511.6487328044176,508.27276929593955,503.61717260946955,497.55157286624996,490.04137478698584,481.14795368408045,471.31656723672717,461.08844371581625,450.8476444408849,440.3495629260566,429.19242573410065,417.13230449814813,404.5566511327774,392.01076262292764,379.95662706221316,368.52299697894847,357.75531601012256,347.66788516058455,338.15043490662583,329.0615530923977,320.2745717994237,311.7218000587183,303.3502911386675,295.12681846747773,287.09703611263706,279.32631830145345,271.85919516476827,264.65682044755795,257.65950379833197,250.82506096882867,244.18133212370185,237.77366353083386,231.641468430948,225.80042795613207,220.26029021131487,215.01495716598714,209.99494624788917,205.11492874932316,200.30076048543904,195.52303536277782,190.76353181072807,
435369.5357590006653,381.94300107989375,393.37113579574935,402.8410557848586,409.7621326538737,415.09765388954634,420.1993859486532,425.9795341947997,431.5920596189051,435.7513621187168,437.47777573629133,437.01537109091817,434.9141529461958,431.77309275873785,428.38702875721805,425.59976586332584,423.9737587165556,422.94606082762357,421.6723754250516,419.54398328246236,416.894475353882,414.29302013843846,412.28104727302673,411.2890309456147,411.71970648193786,413.84995199381075,417.45321673736277,422.1770927548017,427.62093137195006,433.1911210490865,438.2458095301033,442.3506920514014,445.90165381941415,449.502127533083,453.58510822833205,457.90184028901695,462.03313043597603,465.63739874542506,468.68351871509066,471.21797719807705,473.32734439381215,475.25852388701975,477.29850260874747,479.5707557749518,481.5447117412259,482.5262871480725,482.0092483925368,480.23876089783636,477.6478398437317,474.66401805798705,471.6928989603834,469.1346036187051,467.35741951713214,466.602299805425,467.07836404973955,468.90022039218456,471.80443127868244,475.4330477311089,479.4416198629987,483.5396941545262,487.45031617752437,490.9583019282878,494.09554910095505,496.9557258141257,499.6424049586196,502.29877851413625,505.07794323259577,508.0701599158941,511.1143455658317,513.9865812341855,516.4673188787324,518.3544940812524,519.4504133295252,519.5946201568202,518.7756062783616,517.019100454863,514.4064273983324,511.24129562595846,507.88300960622433,504.5692960505161,501.05157064183135,496.9596713060707,491.96339428224877,485.8923690618386,478.61618344942707,470.0833475246106,460.55806046702276,450.38344373130633,439.8559487032059,429.08534649287503,418.1347381415689,407.1011552130776,396.217351361332,385.75001076279744,375.8935233114703,366.5531017714711,357.56166462445077,348.7663097463938,340.0708525906198,331.39328800478194,322.679779438043,313.9891647456067,305.40845038418644,297.02061521911736,288.892527750221,281.0870288859405,273.6418350899494,266.4941650468443,259.55611299645204,252.76162713636722,246.13207149525394,239.7106640595437,233.5371603241523,227.6374658179344,222.03402357822867,216.73180342356008,211.66588229719775,206.75386392359673,201.92311215773535,197.14003137668496,192.38078608804003,
